indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
1,,2,2007m10,22oct2007,2297.4895,0,47,204,7,3,1,3,10,3,0,21,35,1,1,2007q4,BE,1,0,1,1
1,,6,2008m10,20oct2008,2214.4814,0,48,216,7,3,1,3,10,3,0,21,45,1,1,2008q4,BE,1,0,1,1
4,,1,2007m7,23jul2007,1531.9712,0,40,228,7,3,1,3,10,3,0,41,40,1,1,2007q3,RU,1,0,1,1
4,,2,2007m10,22oct2007,1543.2272,0,40,228,7,3,1,3,10,3,0,41,40,1,1,2007q4,RU,1,0,1,1
4,,3,2008m1,21jan2008,1558.3773,0,40,240,7,3,1,3,10,3,0,41,40,1,1,2008q1,RU,1,0,1,1
4,,4,2008m4,21apr2008,1570.2628,0,41,240,7,3,1,3,10,3,0,41,40,1,1,2008q2,RU,1,0,1,1
4,,5,2008m7,21jul2008,1577.4222,0,41,240,7,3,1,3,10,3,0,41,40,1,1,2008q3,RU,1,0,1,1
4,,6,2008m10,20oct2008,1582.3969,0,41,240,7,3,1,3,10,3,0,41,40,1,1,2008q4,RU,1,0,1,1
261,,1,2007m3,12mar2007,1642.0865,0,52,180,53,3,3,3,10,1,0,61,35,1,1,2007q1,GI,1,1,1,1
261,,2,2007m6,11jun2007,1646.3215,0,52,180,53,3,3,3,10,1,0,61,35,1,1,2007q2,GI,1,1,1,1
261,,3,2007m9,10sep2007,1653.2268,0,52,180,53,3,3,3,10,1,0,61,30,1,1,2007q3,GI,1,1,1,1
261,,4,2007m12,10dec2007,1657.4609,0,53,180,53,3,3,3,10,1,0,61,35,1,1,2007q4,GI,1,1,1,1
261,,5,2008m3,10mar2008,1659.2922,0,53,192,53,3,3,3,10,1,0,61,35,1,1,2008q1,GI,1,1,1,1
261,,6,2008m6,09jun2008,1661.298,0,53,192,53,3,3,3,10,1,0,61,35,1,1,2008q2,GI,1,1,1,1
262,,5,2008m3,10mar2008,1842.6793,1,43,216,53,3,3,3,10,3,0,52,35,1,1,2008q1,BE,1,1,1,1
263,30,1,2007m3,12mar2007,1521.8521,0,40,34,53,2,3,3,10,1,0,52,36.45,1,1,2007q1,GI,1,1,1,1
263,,6,2008m6,09jun2008,1575.3767,0,41,49,53,2,3,3,10,1,0,52,19,1,1,2008q2,GI,1,1,1,1
265,,1,2007m3,12mar2007,1695.9471,1,44,30,53,3,1,3,10,1,0,41,48,1,1,2007q1,KZ,1,1,1,1
265,,2,2007m6,11jun2007,2503.5132,1,44,33,53,3,1,3,10,1,0,32,42,1,1,2007q2,KZ,1,1,1,1
265,,3,2007m9,10sep2007,2478.7969,1,44,36,53,3,1,3,10,1,0,32,45,1,1,2007q3,KZ,1,1,1,1
265,,6,2008m6,09jun2008,2746.4182,1,45,45,53,3,1,3,10,1,0,32,45,1,1,2008q2,KZ,1,1,1,1
269,,5,2008m3,10mar2008,1860.7554,1,41,252,53,3,1,3,10,1,0,52,35,1,1,2008q1,GI,1,1,1,1
319,,6,2008m5,05may2008,1319.6553,0,39,12,83,3,1,3,10,1,0,52,29,4,4,2008q2,GI,1,1,1,0
340,,1,2007m2,05feb2007,2448.6743,1,26,36,83,3,1,3,10,3,0,21,42,1,1,2007q1,GI,1,1,1,0
340,,2,2007m5,07may2007,2469.9065,1,26,39,83,3,1,3,10,3,0,21,32,1,1,2007q2,GI,1,1,1,0
340,37.3,3,2007m8,06aug2007,2489.3962,1,26,42,83,3,1,3,10,3,0,21,42,1,1,2007q3,GI,1,1,1,0
